PRODUCT_CONFIGURATION_ID,SALES_DOC,SALESDOC_CREATION_DATE(YYYYMMDD),SALES_DOC_ITEM,SALES_DOC_CAT,CONFIG_PRODUCT,IQ_MAX_PAL_WEIGHT,IQ_PALLET_MOVE,IQ_CUST_PRIO,IQ_MIN_ISLE_WIDTH,IQ_SURFACE,IQ_WH_CL_HEIGHT,IQ_WH_SIZE,IQ_MAX_RACK_HEIGHT,IQ_WH_NOISE,AVC_CR_COUNTERWEIGHT_VXX,AVC_CR_POWERSOURCE_VXX,AVC_CR_FORKSIZE_VXX,AVC_CR_WHEELTYPE_VXX,LEAD_TIME,UNIT_NET_PRICE,UNIT_GROSS_PRICE,UNIT_COGS,CURRENCY
33776,22010,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,AS,25,75000,10,YES,3000,ELEC,L,P,5,0,0,0,GBP
33996,22120,20221130,10,C,FL001_P0,1000,50,OPERATING_COSTS,7,GR,25,20000,20,NO,3000,COMB,L,P,6,0,0,0,GBP
33886,22065,20221130,10,C,FL001_P0,1000,10,ENVIRON_IMPACT,10,AS,75,75000,25,NO,5000,ELEC,M,P,3,0,0,0,GBP
32908,21576,20221130,10,C,FL001_P0,500,25,LEAD_TIME,5,AS,75,50000,25,NO,2000,ELEC,L,P,3,0,0,0,GBP
33116,21680,20221130,10,C,FL001_P0,500,10,LEAD_TIME,5,AS,75,75000,20,YES,3000,ELEC,L,P,4,0,0,0,GBP
33446,21845,20221130,10,C,FL001_P0,100,10,LEAD_TIME,10,GR,75,75000,35,NO,5000,ELEC,S,P,6,0,0,0,GBP
32862,21553,20221130,10,C,FL001_P0,500,10,LEAD_TIME,10,GR,75,75000,25,NO,5000,COMB,M,P,0,0,0,0,GBP
34060,22152,20221130,10,C,FL001_P0,500,10,OPERATING_COSTS,7,SM,75,75000,35,NO,5000,ELEC,S,C,4,0,0,0,GBP
34170,22207,20221130,10,C,FL001_P0,1000,10,OPERATING_COSTS,10,SM,75,50000,35,YES,2000,ELEC,M,C,0,0,0,0,GBP
32312,21278,20221130,10,C,FL001_P0,1000,10,LEAD_TIME,10,GR,75,75000,35,NO,5000,COMB,S,P,5,0,0,0,GBP
